date,1001_PM,1002_PM,1004_PM,1005_PM,1008_PM,1009_PM,1011_PM,1012_PM,1039_PM,1040_PM,1041_PM,BS_PM,BK_PM,RS_PM,MP_PM,1001_NO2,1002_NO2,1004_NO2,1005_NO2,1008_NO2,1009_NO2,1011_NO2,1012_NO2,1039_NO2,1040_NO2,1041_NO2,BS_NO2,BK_NO2,RS_NO2,MP_NO2,1001_O3,1002_O3,1004_O3,1005_O3,1008_O3,1009_O3,1011_O3,1012_O3,1039_O3,1040_O3,1041_O3,BS_O3,BK_O3,RS_O3,MP_O3
6/8/2022,4.690252,3.303276,2.548172,2.034534,2.827237,2.691393,2.32645,1.648681,2.352468,NA,3.61107,3.5913659,3.9864119,5.3049483,2.9693362,22.74407254,19.33340741,15.77847723,13.55241177,13.97730069,21.44917261,13.13401399,25.29898687,11.03518901,13.50028668,18.27874679,18.534783,17.482759,13.89,8.713333,24.02759222,27.60184201,27.85984925,36.91484743,27.41281477,24.1883554,32.72014459,36.31268475,44.60547131,32.02317809,38.06298666,33.092292,28.159792,33.039468,26.145625
6/9/2022,4.680332,4.112363,3.249749,2.867185,3.028764,3.319451,2.671302,3.103489,3.377619,NA,3.584918,2.4834395,2.5995046,3.3067233,1.384218,25.52836798,23.59157133,20.35852958,18.93351349,19.02599471,23.93286049,15.44550117,23.09119115,15.23234702,19.92558971,21.80434383,15.356897,15.458333,21.569565,12.255,10.67679393,14.72437749,13.76006862,16.84964645,17.6689036,15.54895942,18.71282867,11.01243813,20.67588459,14.21189347,19.77406722,24.295354,21.637083,18.062083,26.306667
6/10/2022,3.033454,3.320829,2.161198,1.773577,2.136169,2.447795,1.794293,1.920172,3.056819,NA,2.405685,3.259448,2.2797414,3.2142251,1.3042493,23.82596574,21.0661576,20.6077405,19.80825549,18.47834697,25.27572308,16.60972576,25.72754279,20.45849861,15.53042983,22.2770267,9.263333,10.476087,10.003333,16.525,22.19876238,28.1002585,26.11106822,24.41536027,27.49787178,19.99800896,30.72644361,31.95478599,40.47896688,30.49619098,39.34239294,25.190625,23.883857,24.09375,24.015417
6/11/2022,2.93304,2.561118,1.817123,1.395405,2.10251,2.054243,1.664637,1.316222,NA,NA,1.841862,1.6299363,1.8794055,1.4313517,1.7849858,17.92142574,15.83015213,12.60753311,14.84090615,13.58155988,16.41171067,8.87427125,19.75562355,11.47325933,12.97913469,15.30009956,11.961667,7.091667,7.328333,11.443478,30.09643188,34.48055062,34.00324272,42.12917475,34.10344259,31.8167106,37.73980875,42.24696307,49.88256228,38.77090848,45.02077161,38.381116,34.291042,38.143333,32.474583
6/12/2022,3.62954,3.220199,2.819489,2.377916,3.223848,2.966454,2.648814,1.939992,NA,NA,2.924418,3.1795471,2.7905166,1.6395612,2.3745571,21.29444642,17.84106729,14.78814842,17.23843952,13.8146506,18.09951551,14.64228434,21.59984265,18.87938912,14.89676861,16.75609117,10.717778,10.81,8.12,7.471667,28.39146504,32.96902436,33.44032065,37.8125453,31.99718518,33.99604176,36.66458317,40.73872804,48.31481052,37.53685524,41.72778106,28.626106,26.284375,28.800625,24.367292
6/13/2022,3.003527,2.636596,2.656966,2.350888,3.028662,2.921248,2.525136,1.986645,NA,NA,2.669436,2.2627035,2.1232295,1.7630573,2.3364989,18.45824444,16.0346648,18.87670476,21.01825366,16.58696342,20.97616092,17.03043171,17.22905813,18.84924241,19.57174558,21.21255443,4.85,13.480702,3.193333,7.656667,32.94023674,34.77571586,37.91215883,41.8673656,36.37360637,33.97600557,38.79107001,38.27774089,48.75286195,39.20545059,43.56885181,30.477434,30.520625,31.809583,29.469792
6/14/2022,5.416686,4.959934,4.930933,4.413193,5.150827,5.27929,4.456883,3.331566,NA,NA,4.990944,4.6731776,3.8559094,2.597523,4.9039007,17.15940692,16.99959059,18.02531159,17.95782816,14.81635283,19.19212456,14.64075213,16.63577045,19.28398116,19.10654912,16.89584296,8.582609,13.258696,4.005,9.906667,26.10190992,31.9727443,30.27692251,33.8768803,29.75287223,28.40608175,34.04485667,36.14221237,42.5547625,33.86148404,40.00366572,30.235,24.717292,32.372083,26.955833
6/15/2022,6.733001,6.849503,6.399725,6.003979,6.366874,6.425259,5.644885,4.97364,NA,NA,7.36159,7.5414013,4.2138004,5.5176929,4.7480142,23.40669923,22.95589885,20.5336739,19.80138226,19.76280455,25.88812958,17.36536102,20.41137076,19.23697052,22.56042934,22.37745615,15.89,17.053333,13.93,10.085,15.80950664,20.77018031,18.24266184,21.57833887,19.9425486,20.74999498,23.66955482,24.13652921,29.98369389,20.87508915,26.96410998,25.889167,20.45375,30.055625,23.480625
6/16/2022,7.454157,8.362749,6.810694,6.604307,6.939574,6.691783,6.306858,5.134164,NA,NA,7.701893,8.9036801,6.2293701,9.4256192,4.4098582,19.19815621,19.23090794,16.03631702,15.74395465,15.68074562,22.78010235,12.84001917,21.77180157,19.38535093,15.18770444,17.7559058,12.678261,15.756667,14.091667,10.9,23.46671266,27.84719287,22.36298075,29.39100591,25.44161768,18.35977415,28.33545961,35.30654498,38.85431585,23.71289802,29.27315972,28.614381,25.48375,39.464167,26.43125
6/17/2022,4.568703,4.359026,3.696015,3.439587,3.812959,3.927441,3.298729,2.938999,NA,NA,3.883476,2.7178344,2.1990092,1.8626327,2.8500709,30.7081972,21.37983067,22.69479856,21.58134856,22.17314735,27.81370291,19.82131796,21.89630656,22.63345254,19.89590972,22.00085039,11.122807,13.001667,10.886957,11.623333,19.74906885,28.09937765,27.66084141,34.97209336,29.82716823,24.26999067,32.45081851,33.38141207,41.15891008,31.67060406,35.27482202,27.197566,25.579167,30.107292,26.649792
