date,R1001,R1002,R1004,R1005,R1008,R1009,R1011,R1012,R1039,R1040,R1041,BS,BK,RS,MP
6/23/2022,23.52740259,26.94434159,17.77951256,19.12949021,15.3235541,19.05692679,16.54353662,32.73738374,19.24084752,17.51542469,20.20554065,11.65,9.222222,16.106667,6.38
6/24/2022,24.36618116,27.70099261,24.09177224,24.41659178,25.30964251,22.41136885,22.18732012,25.24495149,23.96856555,20.32655515,24.50726908,15.219565,13.998276,17.62,17.68
6/25/2022,24.20913083,24.29419173,22.05094576,26.4447866,24.03704435,24.75244251,22.20172279,22.99918729,22.91031453,22.99224566,26.84678709,20.063333,14.098333,13.75,15.173913
6/26/2022,30.26370194,30.59851616,25.55661626,26.93983336,27.49850896,25.03171864,23.46753476,24.50036532,NA,26.46127016,27.99913963,18.165217,22.196667,20.411667,28.28
6/27/2022,25.52715383,25.25478524,25.17179816,27.36618702,26.34000472,24.53551048,23.27351141,24.18655965,NA,23.7703276,26.57383894,21.703333,23.783333,19.413043,29.763333
6/28/2022,17.69072213,17.83787055,15.92586246,18.36677432,14.67238522,20.04714367,12.25687665,24.77109999,NA,16.85220017,19.11928548,11.417391,15.028261,5.595,16.46087
6/29/2022,22.23763993,23.62388853,18.26819711,19.22954746,14.96497713,18.09387994,15.3954474,25.13343471,NA,17.52404596,20.79648022,8.058333,10.851667,13.581667,10.42
6/30/2022,25.32782963,26.98407883,23.48062185,26.78415155,24.0460168,25.75701131,20.19644295,35.65805625,NA,22.70891789,24.87907754,14.145,18.311667,20.4,13.216667
7/1/2022,34.82370097,22.85995605,20.25413522,24.64342363,19.91306809,20.36079506,18.67303814,27.48916241,NA,23.82425997,20.71519348,17.69322,15.384783,12.241304,14.648333
7/2/2022,28.98249647,27.43160434,17.5299567,17.12086606,14.06377673,24.57688979,16.51472074,24.46693983,NA,19.8260468,20.01333082,13.388333,10.991304,9.028261,24.415
7/3/2022,15.4124959,14.73890982,10.6503032,11.96326106,11.30113238,12.71937805,8.07097956,17.29198064,NA,9.869537866,10.21187562,6.006667,3.778333,4.651667,4.985
7/4/2022,21.4048434,18.57187041,17.2783251,15.53192102,15.04959673,16.63563473,10.29445222,20.58035672,NA,15.70111136,21.45078585,12.168333,9.13,16.431667,6.863333
7/5/2022,25.45999837,18.49741836,15.4707011,16.26184272,13.99786073,21.51357455,15.66231348,28.02947199,NA,17.49352785,20.0657424,16.208889,18.58,13.828261,19.098333
7/6/2022,25.20900598,22.38367895,24.14912795,28.81377137,26.08583352,29.35959671,19.54924193,27.94768546,NA,23.57824872,26.4065966,17.393333,31.008333,16.563333,13.37
7/7/2022,24.92776982,23.31766828,20.69369031,25.32850453,21.71284146,26.01287646,19.17728123,27.72487203,NA,20.44832472,23.96806779,21.371739,19.069565,21.265217,11.496667
7/8/2022,22.03395186,18.93077499,15.72156847,17.00064723,13.74433689,17.35899785,12.4659713,28.24639202,NA,16.96860804,20.49339877,14.758333,12.603333,17.298333,8.58
7/9/2022,22.88578593,19.76817493,21.31396655,20.63778271,20.89112396,21.3313081,NA,23.81045991,NA,21.67987253,21.42841176,14.603333,15.646667,20.073913,13.991667
