time,R1001,R1002,R1004,R1005,R1008,R1009,R1011,R1012,R1039,R1040,R1041,BS,BK,RS,MP
6/17/2022,19.74906885,28.09937765,27.66084141,34.97209336,29.82716823,24.26999067,32.45081851,33.38141207,41.15891008,31.67060406,35.27482202,27.197566,25.579167,30.107292,26.649792
6/18/2022,18.19137952,23.53951904,23.96880059,23.83328722,25.11307658,22.06987999,28.16777691,24.65660915,34.95601599,28.24401271,32.40502945,28.213717,21.788333,32.196042,21.777292
6/19/2022,18.95057692,22.95532303,21.001511,25.11302751,23.99896081,26.41388596,26.07033526,24.91238036,33.99111485,23.49230961,30.71894831,23.73385,23.273958,26.706042,22.678125
6/20/2022,17.05355612,22.68920087,18.23374415,24.72674917,19.72652946,17.85267407,25.94171742,25.73570552,34.65950691,23.11458838,27.64909078,25.363496,18.68,30.631667,18.192917
6/21/2022,13.6743136,16.38899235,17.7782973,18.53875093,15.96920131,13.68938575,23.38922633,20.61943335,30.04748916,20.74759209,26.40109631,21.481458,16.896458,26.185833,18.185833
6/22/2022,26.41976511,30.98466574,35.61277464,41.38163978,32.83799881,32.26604182,37.13992648,44.75306637,48.3371814,39.49871119,41.84994985,28.58208,26.071875,28.606875,23.853958
6/23/2022,19.58654193,27.58709647,23.13501022,29.88308574,25.68923997,24.14367906,29.20681991,39.45586185,38.40005247,26.65868555,32.2467558,25.583542,22.458125,27.130625,23.104375
6/24/2022,20.76735924,26.49407862,20.30932553,39.6343066,22.31326642,22.38494122,25.82745455,58.5923049,45.26581859,27.79537816,28.68082236,25.433333,19.619403,25.866875,22.166042
6/25/2022,29.41114683,36.99461766,37.629477,57.6346264,35.72130541,44.11014422,41.60487828,74.46633659,11.87062451,44.80356591,50.72887544,32.901327,27.03625,27.073542,25.995625
6/26/2022,27.76163097,41.84617381,41.56561244,71.00707343,36.76439806,41.66605416,45.85605333,72.76969522,NA,48.29305118,49.77625642,34.029867,28.407708,30.253542,25.867917
6/27/2022,29.67132362,43.48069549,41.80698218,61.58727183,35.99858581,41.61130394,45.14183939,56.11432869,NA,50.29068452,50.3397616,43.609513,47.623958,40.571875,37.467708
6/28/2022,28.66415407,27.14550342,30.56304247,29.3625895,29.63711806,32.67543407,36.28509666,14.97275082,NA,30.71771756,35.11031884,29.951667,28.667708,31.19125,26.645283
6/29/2022,17.72722268,17.9936094,19.44354457,19.98253199,20.69658118,18.28998207,25.99788069,12.52855046,NA,21.00835054,26.9256492,24.682917,18.507917,25.366042,18.021458
6/30/2022,21.69026837,27.0656668,26.98191409,38.26779828,26.50838816,22.69342926,32.19706947,32.69980343,NA,27.9046131,34.40941369,23.884167,21.191667,25.245208,19.506667
